id,rating,year,img,name,link,location,type,lat,lng
2957,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/df83878f-8e8f-4a33-a3f5-113fb30fea93.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Longtail,https://guide.michelin.com//en/taipei-region/taipei/restaurant/longtail,Taipei,Innovative,25.023937,121.548248
2958,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/0798480b-c801-4032-9a55-420adef0ff61.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Sushi Akira,https://guide.michelin.com//en/taipei-region/taipei/restaurant/sushi-akira,Taipei,Sushi,25.066139,121.524857
2959,3,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/4ef7a03a-036f-4907-a677-bea7d242cb27.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Le Palais,https://guide.michelin.com//en/taipei-region/taipei/restaurant/le-palais,Taipei,Cantonese,25.04907,121.51696
2960,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/06638a42-1b64-4b63-8a2b-112c73cd13e9.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Impromptu by Paul Lee,https://guide.michelin.com//en/taipei-region/taipei/restaurant/impromptu-by-paul-lee,Taipei,Innovative,25.054178,121.524246
2961,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/75b266f1-9391-40c9-8dfd-92ec24d14679.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Sushi Nomura,https://guide.michelin.com//en/taipei-region/taipei/restaurant/sushi-nomura,Taipei,Sushi,25.036207,121.554787
2962,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/d6128a2d-83a9-4b8a-ab55-d771a5e1eb3d.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Forchetta,https://guide.michelin.com//en/taichung-region/taichung/restaurant/forchetta,Taichung,European Contemporary,24.16003,120.640846
2963,2,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/63501a72-610e-4869-b375-d4d39a677635.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",JL Studio,https://guide.michelin.com//en/taichung-region/taichung/restaurant/jl-studio,Taichung,Innovative,24.150568,120.628555
2964,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/86c8ebcb-592d-4463-8373-a602512244e5.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Ken Anhe,https://guide.michelin.com//en/taipei-region/taipei/restaurant/ken-an-ho,Taipei,Japanese,25.034624,121.553413
2965,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/4fd6bd7c-04ce-4fbb-b839-1768a88a2d94.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Fleur de Sel,https://guide.michelin.com//en/taichung-region/taichung/restaurant/fleur-de-sel-1188695,Taichung,French Contemporary,24.160425,120.634514
2966,2,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/2bf006a9-2763-4e79-b184-cff1bb606558.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Sushi Amamoto,https://guide.michelin.com//en/taipei-region/taipei/restaurant/sushi-amamoto,Taipei,Sushi,25.037943,121.554619
